latitude,longitude,gpstime,gpsdate
39.984112,116.327185,22:26:29,2008-04-24
39.967209,116.345291,19:22:14,2008-05-01
39.975312,116.354748,20:38:17,2008-06-22
39.988087,116.197086,22:08:31,2008-05-16
40.000261,116.378991,22:46:52,2008-10-02
39.984676,116.353013,22:23:00,2008-05-20
39.927321,116.328042,18:04:04,2008-05-31
39.988283,116.361498,20:01:06,2008-06-20
39.98553,116.352197,00:17:33,2008-06-22
39.985154,116.353246,21:04:23,2008-06-25
39.986908,116.40962,05:28:35,2008-07-10
40.000293,116.379308,13:14:01,2008-07-11
40.001108,116.376024,19:52:29,2008-07-15
39.999288,116.37831,20:24:36,2008-07-17
39.999363,116.378317,00:35:41,2008-07-20
39.976501,116.45776,17:39:41,2008-07-21
40.000403,116.377901,20:48:06,2008-07-21
39.991406,116.326162,13:09:15,2008-07-24
39.940214,116.429526,15:27:54,2008-07-25
39.991379,116.297178,23:13:47,2008-07-03
39.988216,116.35915,21:16:52,2008-07-09
39.985027,116.353523,22:44:32,2008-07-09
39.982731,116.310253,23:50:37,2008-07-09
39.985418,116.351774,03:00:47,2008-07-10
39.991295,116.195098,13:58:10,2007-10-19
39.96665,116.341517,15:55:53,2007-10-13
39.96675,116.3424,19:56:56,2007-10-17
39.975983,116.331033,22:17:35,2007-10-17
39.990567,116.192717,13:58:10,2007-10-19
39.976717,116.330767,19:52:06,2007-10-19
39.9549,116.316248,21:18:10,2008-05-24
39.974012,116.327243,05:03:15,2008-05-25
39.988842,116.309747,20:08:23,2008-04-30
39.90461,116.463785,20:01:57,2008-05-17
39.97567,116.330925,13:29:55,2008-05-18
39.867809,116.537721,14:46:44,2008-10-13
39.883292,116.456503,15:21:22,2008-10-13
39.882148,116.269467,10:20:20,2008-10-16
39.905597,116.268245,10:37:30,2008-10-16
39.981121,116.327945,23:36:38,2008-10-18
39.968939,116.259077,12:49:09,2008-11-02
39.943683,116.456493,14:39:03,2008-10-11
39.905835,116.346516,14:49:30,2008-11-28
39.905946,116.26854,09:31:31,2008-12-10
39.931102,116.56982,13:13:40,2008-12-06
39.909336,116.570504,14:05:10,2008-12-06
39.984642,116.418598,15:43:02,2008-07-22
39.895588,116.315203,17:04:10,2008-09-25
39.862768,116.37182,09:17:16,2008-08-21
39.975253,116.330942,14:21:12,2008-09-13
39.984642,116.418598,15:43:02,2008-07-22
39.942434,116.304367,15:51:16,2008-05-17
39.895306,116.315118,10:19:38,2008-10-25
39.921839,116.415923,13:29:10,2008-12-02
39.866193,116.348111,15:11:45,2008-12-02
39.966582,116.342177,20:16:09,2009-08-26
39.976382,116.327601,11:11:54,2009-07-31
39.967308,116.343478,19:51:23,2009-09-09
39.967192,116.343578,20:03:20,2009-09-16
39.967143,116.343417,19:57:21,2009-09-23
39.966582,116.342177,20:16:09,2009-08-26
39.984642,116.418598,15:43:02,2008-07-22
40.073318,116.582135,09:36:21,2007-12-14
39.9904,116.32688,12:28:39,2007-12-25
39.975045,116.338273,22:40:00,2008-04-22
39.977137,116.330744,22:53:38,2008-07-31
39.97079,116.418454,17:08:30,2008-08-02
39.991383,116.326392,23:52:45,2008-08-02
39.938166,116.430066,13:24:08,2008-10-11
39.938166,116.430066,13:24:08,2008-10-11
39.97098,116.418435,22:45:02,2008-05-28
39.970267,116.41884,23:23:00,2008-07-18
40.076833,116.325528,22:37:00,2008-05-06
39.988915,116.198763,14:14:04,2008-05-16
39.975738,116.330847,18:21:21,2008-05-16
40.07691,116.32561,21:46:55,2008-07-07
40.076973,116.325655,22:15:53,2008-09-08
39.922915,116.293897,13:25:48,2008-09-22
39.790113,116.390918,11:09:05,2008-09-30
40.075837,116.323265,22:29:03,2008-10-09
40.076847,116.325583,23:15:08,2008-10-20
39.94238,116.30137,13:03:59,2008-11-05
40.076755,116.32565,22:38:34,2008-11-05
40.076918,116.325583,20:51:12,2008-11-30
40.07643,116.3241,22:54:20,2008-12-03
40.076067,116.323332,23:49:19,2008-12-04
40.076268,116.323893,22:19:31,2009-02-21
40.078235,116.587838,08:35:42,2009-02-22
39.975627,116.331032,16:58:05,2009-03-18
39.975585,116.33091,16:45:45,2009-03-19
39.975652,116.330888,11:06:49,2009-03-24
40.077262,116.325713,23:05:23,2009-04-02
39.989654,116.451145,14:17:55,2008-10-12
39.927242,116.472256,17:56:21,2008-10-12
39.98963,116.4512,14:17:55,2008-10-12
39.927291,116.472228,17:56:21,2008-10-12
39.932451,116.461033,22:54:51,2008-10-12
39.926849,116.471952,23:00:36,2008-10-17
39.986819,116.448187,11:44:46,2008-09-29
39.926995,116.472063,22:35:21,2008-09-29
39.975347,116.329694,11:12:21,2008-10-01
39.927035,116.471939,19:52:47,2008-10-18
39.966566,116.344588,21:48:35,2008-10-26
39.966495,116.344583,21:46:13,2008-10-28
40.077647,116.586778,07:08:01,2008-11-04
39.926812,116.472256,21:19:49,2008-11-19
39.926986,116.471945,22:14:12,2008-11-24
39.966518,116.344552,21:46:13,2008-10-28
39.966576,116.344334,21:23:12,2008-11-25
39.98533,116.463319,17:33:08,2008-11-29
39.908959,116.411608,17:11:32,2008-12-05
39.926319,116.472144,21:04:23,2008-12-05
39.927128,116.472058,17:24:01,2008-08-08
39.927179,116.47198,21:26:48,2008-08-15
39.927326,116.471979,15:39:20,2008-08-17
39.927285,116.472011,21:42:38,2008-08-20
39.926636,116.471948,23:25:18,2008-08-28
39.975659,116.330987,10:52:20,2008-08-31
39.966588,116.344569,21:55:37,2008-08-31
39.926724,116.471977,20:07:53,2009-07-11
39.926853,116.471892,20:22:57,2009-07-14
39.997331,116.448156,17:05:28,2009-08-20
39.986825,116.448366,08:47:44,2009-08-22
39.927172,116.471959,13:33:18,2009-08-22
39.986813,116.4482,09:09:06,2009-08-23
39.991677,116.430967,10:35:10,2009-08-23
39.929888,116.471825,18:09:27,2009-08-23
39.927154,116.472141,23:38:08,2009-08-28
39.986743,116.448631,10:37:50,2009-08-29
39.927419,116.472171,15:20:26,2009-08-29
39.932161,116.396626,09:52:04,2009-08-30
39.927258,116.472002,19:08:19,2009-08-30
39.926724,116.471977,20:07:53,2009-07-11
39.926683,116.472103,21:52:28,2009-06-20
39.93343,116.455838,11:03:41,2009-06-21
39.897087,116.317202,12:01:52,2008-05-01
39.926885,116.471557,17:06:00,2008-05-09
39.927033,116.4719,16:53:16,2008-05-12
39.958163,116.460495,09:19:55,2008-05-13
39.926998,116.472083,22:30:29,2008-05-13
39.958052,116.46055,08:59:33,2008-05-14
39.927027,116.471925,22:28:21,2008-05-14
39.958152,116.460598,09:18:21,2008-05-15
39.927197,116.472085,21:34:15,2008-05-15
39.957947,116.461018,09:08:31,2008-05-16
39.98255,116.309932,19:06:30,2008-05-17
39.927128,116.471977,22:27:56,2008-05-17
39.92697,116.472133,23:08:06,2008-05-30
39.92688,116.471987,21:36:14,2008-06-07
39.957057,116.282305,17:19:10,2008-06-08
39.92728,116.472042,21:29:10,2008-06-08
39.978117,116.304865,10:17:27,2008-06-14
39.991202,116.463718,12:03:41,2008-06-15
39.927832,116.472038,15:58:32,2008-06-15
39.910793,116.425542,18:58:12,2008-06-18
39.970072,116.319265,21:55:57,2008-06-19
39.92747,116.472407,22:53:07,2008-06-19
39.975313,116.33024,09:54:30,2008-06-22
39.926985,116.471915,21:51:03,2008-06-22
39.926613,116.47207,22:31:48,2008-06-25
39.98054,116.310645,10:27:15,2008-06-28
39.927135,116.472038,22:15:39,2008-06-28
39.966963,116.344467,22:58:58,2008-07-04
39.927507,116.472242,23:31:05,2008-07-05
39.92726,116.471982,22:08:31,2008-05-16
39.975742,116.330759,17:17:56,2008-05-17
39.9666,116.344347,21:08:55,2008-07-13
39.966949,116.34435,22:53:08,2008-07-19
39.927433,116.472112,22:18:07,2008-07-23
39.969533,116.330833,09:23:37,2007-07-29
39.927533,116.314933,23:05:58,2007-04-13
39.92695,116.31495,23:23:44,2007-04-19
39.975045,116.338273,22:40:00,2008-04-22
39.975651,116.330258,16:46:14,2008-05-03
39.95239,116.317434,12:27:55,2008-05-05
39.975603,116.33123,13:46:09,2008-05-05
39.989763,116.326887,22:38:32,2008-05-18
39.976915,116.329072,23:59:59,2008-05-22
39.903881,116.420792,07:56:34,2008-06-07
39.991093,116.326888,00:06:16,2008-06-10
39.975632,116.330862,08:43:00,2008-06-12
39.860177,116.49366,08:37:11,2008-06-20
39.994542,116.326781,08:43:06,2008-06-25
39.975874,116.330818,13:00:11,2008-06-25
39.999785,116.321999,22:13:02,2008-06-25
39.975289,116.330872,22:41:52,2008-07-25
39.977011,116.331044,22:53:42,2008-07-31
39.97079,116.418454,17:08:30,2008-08-02
39.991383,116.326392,23:52:45,2008-08-02
39.915023,116.447593,20:36:56,2008-08-20
39.946279,116.467386,20:58:01,2008-08-20
39.975234,116.33084,23:31:24,2008-08-20
39.97558,116.330826,23:39:50,2008-08-25
39.971429,116.422628,12:17:16,2008-08-31
39.978844,116.310768,12:00:33,2008-09-19
39.938166,116.430066,13:24:08,2008-10-11
39.976468,116.411802,23:03:01,2008-11-26
39.971427,116.422616,17:09:11,2009-05-16
39.971907,116.418523,14:26:38,2009-05-18
39.975264,116.330755,23:12:45,2009-05-18
39.975233,116.330617,22:31:05,2009-05-23
39.975218,116.331228,23:20:58,2008-05-12
39.992342,116.325697,18:22:06,2008-11-07
