@relation grid-weka.filters.unsupervised.attribute.GridJoin-weka.filters.unsupervised.attribute.GridAddLatLng-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last

@attribute kMeansEuclidean numeric
@attribute agglomerativeEuclidean numeric
@attribute kMeansCosine numeric
@attribute agglomerativeCosine numeric
@attribute cellId {(158;248),(182;252),(242;431),(193;269),(182;253),(182;254),(188;364),(219;426),(193;270),(266;355),(243;431),(240;431),(192;271),(243;432),(166;84),(300;176),(171;248),(181;253)}
@attribute latitude {39.99447440420294,39.97546737392452,39.927949798228475,39.96675581838024,39.970715616354916,39.94616486891196,39.90894276795005,39.92715783863354,39.929533717418344,39.96754777797518,39.98813872744346,39.882016141722296,39.9841789294688,39.97625933351945}
@attribute longitude {116.32680195934113,116.32996979772086,116.47173056521407,116.34343311083474,116.3307617573158,116.33155371691073,116.41866927235348,116.4677707672394,116.34422507042967,116.41154163599907,116.34501703002461,116.47252252480901,116.19692058577193,116.26978086850586}
@attribute up1 numeric
@attribute dn1 numeric
@attribute up2 numeric
@attribute dn2 numeric
@attribute up3 numeric
@attribute dn3 numeric
@attribute up4 numeric
@attribute dn4 numeric

@data
3,0,3,0,(158;248),39.99447440420294,116.32680195934113,-0.5,-0.25,-0.5,0.75,1.5,-0.25,-0.5,-0.25
0,0,3,1,(182;252),39.97546737392452,116.32996979772086,-1,-0.75,-1,1.25,0,0.25,2,-0.75
1,0,2,1,(242;431),39.927949798228475,116.47173056521407,-0.25,-0.25,-0.25,-0.25,-0.25,0.75,0.75,-0.25
1,0,0,2,(193;269),39.96675581838024,116.34343311083474,-0.25,-0.25,0.75,-0.25,-0.25,-0.25,-0.25,0.75
2,1,2,1,(182;253),39.97546737392452,116.3307617573158,-2.25,-3.5,-3.25,-0.5,-2.25,1.5,7.75,2.5
0,0,2,1,(182;254),39.97546737392452,116.33155371691073,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5
0,0,2,1,(188;364),39.970715616354916,116.41866927235348,-0.25,-0.75,-0.25,-0.75,-0.25,1.25,0.75,0.25
3,0,1,1,(219;426),39.94616486891196,116.4677707672394,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.75,0.75
1,0,0,2,(193;270),39.96675581838024,116.34422507042967,-0.25,-2,0.75,-2,-0.25,-2,-0.25,6
0,0,2,1,(266;355),39.90894276795005,116.41154163599907,-0.25,-0.25,-0.25,-0.25,-0.25,0.75,0.75,-0.25
1,2,0,2,(243;431),39.92715783863354,116.47173056521407,-1,-5.75,1,-5.75,0,-0.75,0,12.25
1,0,0,2,(240;431),39.929533717418344,116.47173056521407,-0.25,-0.25,0.75,-0.25,-0.25,-0.25,-0.25,0.75
3,0,1,1,(192;271),39.96754777797518,116.34501703002461,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.75,0.75
0,3,0,2,(243;432),39.92715783863354,116.47252252480901,-2.25,-2,3.75,-2,-0.25,1,-1.25,3
3,0,2,1,(166;84),39.98813872744346,116.19692058577193,-0.25,-0.25,-0.25,-0.25,0.75,-0.25,-0.25,0.75
3,0,3,3,(300;176),39.882016141722296,116.26978086850586,-0.25,-0.25,0.75,0.75,-0.25,-0.25,-0.25,-0.25
3,0,1,1,(171;248),39.9841789294688,116.32680195934113,-0.5,-0.25,-0.5,-0.25,-0.5,-0.25,1.5,0.75
0,0,2,1,(181;253),39.97625933351945,116.3307617573158,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5
