latitude,longitude,gpstime,gpsdate,cellId
39.975368,116.333655,21:55:34,2008-01-31,(182;257)
39.966522,116.343536,06:50:00,2008-11-04,(193;269)
39.967377,116.345064,19:12:31,2008-05-01,(192;271)
39.975533,116.394568,20:25:41,2008-06-22,(182;334)
39.986792,116.381567,22:34:02,2008-10-02,(168;317)
39.983697,116.303035,22:15:00,2008-05-20,(172;218)
39.984973,116.352529,00:44:57,2008-05-26,(170;280)
39.981515,116.355615,17:29:00,2008-05-31,(174;284)
39.981423,116.327031,19:12:41,2008-06-20,(174;248)
39.984852,116.308361,00:08:03,2008-06-22,(170;225)
39.984596,116.310174,20:48:23,2008-06-25,(170;227)
39.985456,116.352572,05:22:05,2008-07-10,(169;281)
40.002547,116.411119,12:39:31,2008-07-11,(148;354)
39.985204,116.350747,18:47:08,2008-07-15,(170;278)
39.982034,116.327142,20:11:06,2008-07-17,(174;248)
39.983201,116.32692,00:25:01,2008-07-20,(172;248)
39.993982,116.441859,15:49:41,2008-07-21,(159;393)
39.976025,116.459294,20:32:16,2008-07-21,(181;415)
39.9848,116.307086,13:01:45,2008-07-24,(170;223)
39.914391,116.4106,15:12:24,2008-07-25,(259;354)
39.985464,116.351348,23:02:07,2008-07-03,(169;279)
39.985247,116.327153,21:09:37,2008-07-09,(170;248)
39.987098,116.360358,22:32:47,2008-07-09,(167;290)
39.985323,116.348105,23:44:07,2008-07-09,(170;275)
39.983856,116.307385,02:54:47,2008-07-10,(171;223)
39.974983,116.332433,15:49:15,2007-10-13,(183;255)
39.975383,116.3309,19:49:17,2007-10-17,(182;253)
39.9654,116.340967,22:10:55,2007-10-17,(195;266)
39.9748,116.33115,13:24:41,2007-10-19,(183;253)
39.992333,116.197933,19:23:59,2007-10-19,(161;85)
39.97143,116.325107,20:40:46,2008-05-24,(187;246)
39.955185,116.316962,04:47:05,2008-05-25,(208;236)
39.975298,116.329943,19:59:47,2008-04-30,(182;252)
39.975648,116.331027,19:21:37,2008-05-17,(182;253)
39.972347,116.325285,13:19:10,2008-05-18,(186;246)
39.975078,116.331804,13:10:36,2008-08-01,(182;254)
39.868761,116.509127,14:42:24,2008-10-13,(317;478)
39.868314,116.537318,14:59:46,2008-10-13,(317;514)
39.905802,116.267446,10:11:50,2008-10-16,(270;173)
39.882304,116.269494,10:31:00,2008-10-16,(300;176)
39.932302,116.454149,14:34:11,2008-10-11,(237;409)
39.902637,116.267412,14:21:45,2008-11-28,(274;173)
39.932403,116.429843,15:19:54,2008-07-22,(236;378)
39.898039,116.339781,16:40:00,2008-09-25,(280;264)
39.863378,116.41532,09:04:01,2008-08-21,(324;360)
39.974003,116.348363,14:14:58,2008-09-13,(184;275)
39.918724,116.268671,15:38:36,2008-05-17,(254;175)
39.983161,116.330763,09:37:36,2008-10-25,(172;253)
39.885238,116.41375,13:14:30,2008-12-02,(296;358)
39.924474,116.418501,14:51:05,2008-12-02,(246;364)
39.97514,116.329704,20:00:59,2009-08-26,(182;252)
39.909876,116.302844,10:56:48,2009-07-31,(265;218)
39.975674,116.33918,19:43:34,2009-09-09,(182;264)
39.976214,116.32991,19:42:22,2009-09-16,(181;252)
39.975126,116.328976,19:41:33,2009-09-23,(182;251)
39.932212,116.427528,15:20:28,2008-07-22,(237;375)
39.93936,116.430355,09:01:05,2007-12-14,(228;379)
39.975585,116.330753,12:16:07,2007-12-25,(182;253)
39.970176,116.418262,22:38:48,2008-07-31,(189;363)
39.994484,116.32649,16:48:29,2008-08-02,(158;248)
39.976041,116.418097,23:32:53,2008-08-02,(181;363)
