directory,latitude,longitude,gpstime,gpsdate,endtime
001,32.979315,114.036561666667,17:00:26,2007-10-06,17:00:26
001,39.9841116666667,116.327185,22:26:29,2008-04-24,22:26:29
001,39.967209,116.345291,19:22:14,2008-05-01,19:22:14
001,39.9753116,116.3547483,20:38:17,2008-06-22,20:38:17
001,39.988087,116.197086,22:08:31,2008-05-16,22:08:31
001,36.86589,114.490461,21:19:48,2008-05-04,21:19:48
001,37.581974,126.993473,21:21:21,2008-05-07,21:21:21
002,43.848154,125.286983,21:21:37,2008-10-10,21:21:37
002,40.000261,116.378991,22:46:52,2008-10-02,22:46:52
002,43.848154,125.286983,21:21:37,2008-10-10,21:21:37
002,39.984676,116.353013,22:23:00,2008-05-20,22:23:00
002,39.927321,116.328042,18:04:04,2008-05-31,18:04:04
002,39.988283,116.361498,20:01:06,2008-06-20,20:01:06
002,39.98553,116.352197,00:17:33,2008-06-22,00:17:33
002,39.985154,116.353246,21:04:23,2008-06-25,21:04:23
002,36.041513,103.838824,11:36:41,2008-06-27,11:36:41
002,39.986908,116.40962,05:28:35,2008-07-10,05:28:35
002,40.000293,116.379308,13:14:01,2008-07-11,13:14:01
002,40.001108,116.376024,19:52:29,2008-07-15,19:52:29
002,39.999288,116.37831,20:24:36,2008-07-17,20:24:36
002,39.999363,116.378317,00:35:41,2008-07-20,00:35:41
002,39.976501,116.45776,17:39:41,2008-07-21,17:39:41
002,40.000403,116.377901,20:48:06,2008-07-21,20:48:06
002,39.991406,116.326162,13:09:15,2008-07-24,13:09:15
002,39.940214,116.429526,15:27:54,2008-07-25,15:27:54
002,39.991379,116.297178,23:13:47,2008-07-03,23:13:47
002,39.988216,116.35915,21:16:52,2008-07-09,21:16:52
002,39.985027,116.353523,22:44:32,2008-07-09,22:44:32
002,39.982731,116.310253,23:50:37,2008-07-09,23:50:37
002,39.985418,116.351774,03:00:47,2008-07-10,03:00:47
004,39.991295,116.195098333333,13:58:10,2007-10-19,13:58:10
004,39.96665,116.341516666667,15:55:53,2007-10-13,15:55:53
004,39.96675,116.3424,19:56:56,2007-10-17,19:56:56
004,39.9759833333333,116.331033333333,22:17:35,2007-10-17,22:17:35
004,39.9905666666667,116.192716666667,13:58:10,2007-10-19,13:58:10
004,39.9767166666667,116.330766666667,19:52:06,2007-10-19,19:52:06
009,39.9549,116.3162483,21:18:10,2008-05-24,21:18:10
009,39.9740116,116.3272433,05:03:15,2008-05-25,05:03:15
009,39.9888416,116.3097466,20:08:23,2008-04-30,20:08:23
009,39.90461,116.4637849,20:01:57,2008-05-17,20:01:57
009,39.97567,116.3309249,13:29:55,2008-05-18,13:29:55
011,39.867809,116.537721,14:46:44,2008-10-13,14:46:44
011,39.883292,116.456503,15:21:22,2008-10-13,15:21:22
011,39.882148,116.269467,10:20:20,2008-10-16,10:20:20
011,39.905597,116.268245,10:37:30,2008-10-16,10:37:30
011,39.981121,116.327945,23:36:38,2008-10-18,23:36:38
011,39.968939,116.259077,12:49:09,2008-11-02,12:49:09
011,39.943683,116.456493,14:39:03,2008-10-11,14:39:03
011,39.905835,116.346516,14:49:30,2008-11-28,14:49:30
011,39.905946,116.26854,09:31:31,2008-12-10,09:31:31
011,39.931102,116.56982,13:13:40,2008-12-06,13:13:40
011,39.909336,116.570504,14:05:10,2008-12-06,14:05:10
011,39.984642,116.418598,15:43:02,2008-07-22,15:43:02
011,39.895588,116.315203,17:04:10,2008-09-25,17:04:10
011,34.248037,108.963185,07:22:38,2008-09-26,07:22:38
011,34.247574,108.96355,17:50:08,2008-09-30,17:50:08
011,39.862768,116.37182,09:17:16,2008-08-21,09:17:16
011,18.30218,109.2053,15:28:40,2008-08-28,15:28:40
011,39.115068,117.152386,12:39:31,2008-09-01,12:39:31
011,39.113899,117.165208,13:22:40,2008-09-01,13:22:40
011,39.137688,117.175038,14:28:00,2008-09-01,14:28:00
011,39.13749,117.20131,17:06:00,2008-09-01,17:06:00
011,39.975253,116.330942,14:21:12,2008-09-13,14:21:12
011,39.984642,116.418598,15:43:02,2008-07-22,15:43:02
012,39.942434,116.304367,15:51:16,2008-05-17,15:51:16
012,39.895306,116.315118,10:19:38,2008-10-25,10:19:38
012,39.921839,116.415923,13:29:10,2008-12-02,13:29:10
012,39.866193,116.348111,15:11:45,2008-12-02,15:11:45
012,39.966582,116.342177,20:16:09,2009-08-26,20:16:09
012,39.976382,116.327601,11:11:54,2009-07-31,11:11:54
012,39.967308,116.343478,19:51:23,2009-09-09,19:51:23
012,39.967192,116.343578,20:03:20,2009-09-16,20:03:20
012,39.967143,116.343417,19:57:21,2009-09-23,19:57:21
012,39.966582,116.342177,20:16:09,2009-08-26,20:16:09
012,39.984642,116.418598,15:43:02,2008-07-22,15:43:02
013,40.0733183,116.5821349,09:36:21,2007-12-14,09:36:21
013,39.9904,116.3268799,12:28:39,2007-12-25,12:28:39
021,39.975045,116.338273,22:40:00,2008-04-22,22:40:00
021,39.977137,116.330744,22:53:38,2008-07-31,22:53:38
021,39.97079,116.418454,17:08:30,2008-08-02,17:08:30
021,39.991383,116.326392,23:52:45,2008-08-02,23:52:45
021,39.635706,119.307566,10:32:47,2008-08-09,10:32:47
021,39.822995,119.479981,19:01:03,2008-08-09,19:01:03
021,39.826485,119.498125,11:19:23,2008-08-10,11:19:23
021,39.938166,116.430066,13:24:08,2008-10-11,13:24:08
021,39.938166,116.430066,13:24:08,2008-10-11,13:24:08
021,39.9709799,116.4184349,22:45:02,2008-05-28,22:45:02
021,39.9702666,116.41884,23:23:00,2008-07-18,23:23:00
022,40.0768333,116.3255283,22:37:00,2008-05-06,22:37:00
022,39.988915,116.1987633,14:14:04,2008-05-16,14:14:04
022,39.9757383,116.3308466,18:21:21,2008-05-16,18:21:21
022,40.0769099,116.3256099,21:46:55,2008-07-07,21:46:55
022,39.849745,119.4154249,12:38:13,2008-08-12,12:38:13
022,40.0769733,116.3256549,22:15:53,2008-09-08,22:15:53
022,39.9229149,116.2938966,13:25:48,2008-09-22,13:25:48
022,39.7901133,116.3909183,11:09:05,2008-09-30,11:09:05
022,40.0758366,116.3232649,22:29:03,2008-10-09,22:29:03
022,40.0768466,116.3255833,23:15:08,2008-10-20,23:15:08
022,39.9423799,116.3013699,13:03:59,2008-11-05,13:03:59
022,40.076755,116.32565,22:38:34,2008-11-05,22:38:34
022,40.0769183,116.3255833,20:51:12,2008-11-30,20:51:12
022,40.0764299,116.3240999,22:54:20,2008-12-03,22:54:20
022,40.0760666,116.3233316,23:49:19,2008-12-04,23:49:19
022,40.0762683,116.3238933,22:19:31,2009-02-21,22:19:31
022,40.078235,116.5878383,08:35:42,2009-02-22,08:35:42
022,47.6324883,-122.1417466,12:03:51,2009-03-05,12:03:51
022,39.9756266,116.3310316,16:58:05,2009-03-18,16:58:05
022,39.975585,116.3309099,16:45:45,2009-03-19,16:45:45
022,39.9756516,116.3308883,11:06:49,2009-03-24,11:06:49
022,40.0772616,116.3257133,23:05:23,2009-04-02,23:05:23
026,34.2471833333333,108.943966666667,16:30:07,2007-09-04,16:30:07
026,34.2464,108.915566666667,22:25:58,2007-09-04,22:25:58
026,34.2487166666667,108.929316666667,23:05:45,2007-09-04,23:05:45
026,34.2389833333333,108.885616666667,13:41:25,2007-09-05,13:41:25
026,34.2525333333333,108.9269,19:00:57,2007-09-05,19:00:57
027,39.989654,116.451145,14:17:55,2008-10-12,14:17:55
027,39.927242,116.472256,17:56:21,2008-10-12,17:56:21
027,39.9896297833333,116.45119965,14:17:55,2008-10-12,14:17:55
027,39.9272910666667,116.472227666667,17:56:21,2008-10-12,17:56:21
027,39.9324514166667,116.4610328,22:54:51,2008-10-12,22:54:51
027,39.9268485833333,116.471951983333,23:00:36,2008-10-17,23:00:36
027,39.986819,116.448187,11:44:46,2008-09-29,11:44:46
027,39.926995,116.472063,22:35:21,2008-09-29,22:35:21
027,39.975347,116.329694,11:12:21,2008-10-01,11:12:21
027,39.927035,116.471939,19:52:47,2008-10-18,19:52:47
027,39.96656555,116.344588466667,21:48:35,2008-10-26,21:48:35
027,39.9664954833333,116.34458335,21:46:13,2008-10-28,21:46:13
027,40.0776474833333,116.586778366667,07:08:01,2008-11-04,07:08:01
027,39.92681165,116.472256,21:19:49,2008-11-19,21:19:49
027,39.9269857833333,116.47194495,22:14:12,2008-11-24,22:14:12
027,39.966518,116.344552,21:46:13,2008-10-28,21:46:13
027,39.966576,116.344334,21:23:12,2008-11-25,21:23:12
027,39.98532995,116.46331905,17:33:08,2008-11-29,17:33:08
027,39.9089587833333,116.411607983333,17:11:32,2008-12-05,17:11:32
027,39.92631885,116.472143516667,21:04:23,2008-12-05,21:04:23
027,39.927128,116.472058,17:24:01,2008-08-08,17:24:01
027,39.927179,116.47198,21:26:48,2008-08-15,21:26:48
027,39.927326,116.471979,15:39:20,2008-08-17,15:39:20
027,39.927285,116.472011,21:42:38,2008-08-20,21:42:38
027,39.926636,116.471948,23:25:18,2008-08-28,23:25:18
027,39.975659,116.330987,10:52:20,2008-08-31,10:52:20
027,39.966588,116.344569,21:55:37,2008-08-31,21:55:37
027,39.926724,116.471977,20:07:53,2009-07-11,20:07:53
027,39.926853,116.471892,20:22:57,2009-07-14,20:22:57
027,39.997331,116.448156,17:05:28,2009-08-20,17:05:28
027,39.986825,116.448366,08:47:44,2009-08-22,08:47:44
027,39.927172,116.471959,13:33:18,2009-08-22,13:33:18
027,39.986813,116.4482,09:09:06,2009-08-23,09:09:06
027,39.991677,116.430967,10:35:10,2009-08-23,10:35:10
027,39.929888,116.471825,18:09:27,2009-08-23,18:09:27
027,39.927154,116.472141,23:38:08,2009-08-28,23:38:08
027,39.986743,116.448631,10:37:50,2009-08-29,10:37:50
027,39.927419,116.472171,15:20:26,2009-08-29,15:20:26
027,39.932161,116.396626,09:52:04,2009-08-30,09:52:04
027,39.927258,116.472002,19:08:19,2009-08-30,19:08:19
027,39.926724,116.471977,20:07:53,2009-07-11,20:07:53
027,39.926683,116.472103,21:52:28,2009-06-20,21:52:28
027,39.93343,116.455838,11:03:41,2009-06-21,11:03:41
027,39.8970866,116.3172016,12:01:52,2008-05-01,12:01:52
027,32.9717233,114.0141483,19:22:14,2008-05-01,19:22:14
027,32.9763049,114.0270083,11:21:45,2008-05-02,11:21:45
027,32.9790933,114.0360166,08:53:33,2008-05-04,08:53:33
027,32.9854816,114.0256483,16:06:37,2008-05-05,16:06:37
027,32.9790316,114.0358883,08:57:13,2008-05-09,08:57:13
027,39.9268849,116.4715566,17:06:00,2008-05-09,17:06:00
027,39.9270333,116.4719,16:53:16,2008-05-12,16:53:16
027,39.9581633,116.460495,09:19:55,2008-05-13,09:19:55
027,39.9269983,116.4720833,22:30:29,2008-05-13,22:30:29
027,39.9580516,116.46055,08:59:33,2008-05-14,08:59:33
027,39.9270266,116.4719249,22:28:21,2008-05-14,22:28:21
027,39.9581516,116.4605983,09:18:21,2008-05-15,09:18:21
027,39.9271966,116.472085,21:34:15,2008-05-15,21:34:15
027,39.9579466,116.4610183,09:08:31,2008-05-16,09:08:31
027,39.98255,116.3099316,19:06:30,2008-05-17,19:06:30
027,39.9271283,116.4719766,22:27:56,2008-05-17,22:27:56
027,39.92697,116.4721333,23:08:06,2008-05-30,23:08:06
027,39.9268799,116.4719866,21:36:14,2008-06-07,21:36:14
027,39.9570566,116.2823049,17:19:10,2008-06-08,17:19:10
027,39.92728,116.4720416,21:29:10,2008-06-08,21:29:10
027,39.9781166,116.3048649,10:17:27,2008-06-14,10:17:27
027,39.9912016,116.4637183,12:03:41,2008-06-15,12:03:41
027,39.9278316,116.4720383,15:58:32,2008-06-15,15:58:32
027,39.9107933,116.4255416,18:58:12,2008-06-18,18:58:12
027,39.9700716,116.3192649,21:55:57,2008-06-19,21:55:57
