directory,latitude,longitude,gpstime,gpsdate,starttime
001,39.9753683333333,116.333655,21:55:34,2008-01-31,21:55:34
001,39.9665217166667,116.34353595,06:50:00,2008-11-04,06:50:00
001,39.967377,116.345064,19:12:31,2008-05-01,19:12:31
001,39.9755333,116.3945683,20:25:41,2008-06-22,20:25:41
001,36.706746,114.47908,21:13:14,2008-05-04,21:13:14
001,37.5792,126.991168,20:45:25,2008-05-07,20:45:25
002,43.898457,125.318412,21:06:37,2008-10-10,21:06:37
002,39.986792,116.381567,22:34:02,2008-10-02,22:34:02
002,43.898457,125.318412,21:06:37,2008-10-10,21:06:37
002,39.983697,116.303035,22:15:00,2008-05-20,22:15:00
002,39.984973,116.352529,00:44:57,2008-05-26,00:44:57
002,39.981515,116.355615,17:29:00,2008-05-31,17:29:00
002,39.981423,116.327031,19:12:41,2008-06-20,19:12:41
002,39.984852,116.308361,00:08:03,2008-06-22,00:08:03
002,39.984596,116.310174,20:48:23,2008-06-25,20:48:23
002,36.051469,103.85456,11:08:36,2008-06-27,11:08:36
002,39.985456,116.352572,05:22:05,2008-07-10,05:22:05
002,40.002547,116.411119,12:39:31,2008-07-11,12:39:31
002,39.985204,116.350747,18:47:08,2008-07-15,18:47:08
002,39.982034,116.327142,20:11:06,2008-07-17,20:11:06
002,39.983201,116.32692,00:25:01,2008-07-20,00:25:01
002,39.993982,116.441859,15:49:41,2008-07-21,15:49:41
002,39.976025,116.459294,20:32:16,2008-07-21,20:32:16
002,39.9848,116.307086,13:01:45,2008-07-24,13:01:45
002,39.914391,116.4106,15:12:24,2008-07-25,15:12:24
002,39.985464,116.351348,23:02:07,2008-07-03,23:02:07
002,39.985247,116.327153,21:09:37,2008-07-09,21:09:37
002,39.987098,116.360358,22:32:47,2008-07-09,22:32:47
002,39.985323,116.348105,23:44:07,2008-07-09,23:44:07
002,39.983856,116.307385,02:54:47,2008-07-10,02:54:47
004,39.9749833333333,116.332433333333,15:49:15,2007-10-13,15:49:15
004,39.9753833333333,116.3309,19:49:17,2007-10-17,19:49:17
004,39.9654,116.340966666667,22:10:55,2007-10-17,22:10:55
004,39.9748,116.33115,13:24:41,2007-10-19,13:24:41
004,39.9923333333333,116.197933333333,19:23:59,2007-10-19,19:23:59
009,39.9714299,116.3251066,20:40:46,2008-05-24,20:40:46
009,39.9551849,116.3169616,04:47:05,2008-05-25,04:47:05
009,39.9752983,116.3299433,19:59:47,2008-04-30,19:59:47
009,39.9756483,116.3310266,19:21:37,2008-05-17,19:21:37
009,39.9723466,116.3252849,13:19:10,2008-05-18,13:19:10
010,39.975078,116.331804,13:10:36,2008-08-01,13:10:36
011,39.868761,116.509127,14:42:24,2008-10-13,14:42:24
011,39.868314,116.537318,14:59:46,2008-10-13,14:59:46
011,39.905802,116.267446,10:11:50,2008-10-16,10:11:50
011,39.882304,116.269494,10:31:00,2008-10-16,10:31:00
011,39.932302,116.454149,14:34:11,2008-10-11,14:34:11
011,39.902637,116.267412,14:21:45,2008-11-28,14:21:45
011,39.932403,116.429843,15:19:54,2008-07-22,15:19:54
011,39.898039,116.339781,16:40:00,2008-09-25,16:40:00
011,34.277877,108.956543,07:10:20,2008-09-26,07:10:20
011,34.246026,108.920766,17:34:11,2008-09-30,17:34:11
011,39.863378,116.41532,09:04:01,2008-08-21,09:04:01
011,18.252684,109.499885,14:32:18,2008-08-28,14:32:18
011,39.132283,117.191712,12:21:43,2008-09-01,12:21:43
011,39.116723,117.152967,13:16:07,2008-09-01,13:16:07
011,39.113476,117.165457,14:16:18,2008-09-01,14:16:18
011,39.135703,117.184446,16:51:38,2008-09-01,16:51:38
